Wall time,Step,Value
1751291228.090785,807,5940.4951171875
1751291228.330644,808,7168.75634765625
1751291228.5722592,809,5169.498046875
1751291230.016395,815,5545.9404296875
1751291234.1806169,832,5328.236328125
1751291235.144125,836,5993.93310546875
1751291235.6246881,838,5704.5380859375
1751291236.823012,843,5144.6875
1751291243.63622,867,4983.5478515625
1751291244.120885,869,4756.11328125
1751291245.430609,874,5391.31103515625
1751291246.0799968,876,5075.6572265625
1751291247.223878,880,5722.4619140625
1751291247.76383,882,5704.59033203125
1751291249.856673,890,4164.9921875
1751291251.360076,896,4158.306640625
1751291253.390927,900,6018.08984375
1751291255.268123,907,5403.92578125
1751291255.836085,909,4956.91357421875
1751291257.559639,915,4593.705078125
1751291258.149251,917,5029.86474609375
1751291258.911822,920,5427.408203125
1751291259.67038,923,3869.927734375
1751291261.706057,931,6043.1318359375
1751291261.951992,932,5357.1181640625
1751291262.691087,935,4233.12353515625
1751291264.525443,942,4823.060546875
1751291265.258935,945,5049.865234375
1751291268.651475,954,3619.27734375
1751291269.716876,958,3823.86962890625
1751291270.460293,961,4364.64501953125
1751291270.7078998,962,4344.7021484375
1751291272.895228,971,4682.6484375
1751291273.135683,972,4254.38427734375
1751291274.122093,976,5374.404296875
1751291274.637028,978,3885.272705078125
1751291274.8914921,979,3684.60546875
1751291275.888649,983,4136.99609375
1751291276.149065,984,4455.4619140625
1751291276.909011,987,4640.353515625
1751291277.1550589,988,4137.2666015625
1751291279.098934,996,4336.55126953125
1751291281.320996,1000,4404.23486328125
1751291281.770218,1002,4721.7265625
1751291282.272304,1004,4774.1083984375
1751291282.5093708,1005,4455.66796875
1751291284.66957,1014,3791.7470703125
1751291285.3859231,1017,3702.787841796875
1751291287.297159,1025,3536.875244140625
1751291287.794791,1027,4115.1123046875
1751291289.082196,1032,2639.02294921875
1751291290.3343601,1037,3510.7197265625
1751291292.029609,1044,3851.589111328125
1751291296.206579,1057,3489.0224609375
1751291297.762298,1063,4047.4921875
1751291298.4827242,1066,4023.316650390625
1751291298.9700532,1068,3259.8662109375
1751291299.9579499,1072,3314.632568359375
1751291300.989723,1076,3289.62548828125
1751291301.56631,1078,4895.294921875
1751291303.0094159,1083,4219.35791015625
1751291303.266758,1084,3090.74658203125
1751291303.513053,1085,3559.6474609375
1751291305.512773,1093,3933.025634765625
1751291307.0410812,1099,3604.55322265625
1751291309.1106691,1103,2782.029296875
1751291309.3529038,1104,3055.258056640625
1751291309.5942988,1105,3891.0791015625
1751291311.857985,1114,3385.00732421875
1751291313.120484,1119,3485.011474609375
1751291316.619454,1133,3430.98193359375
1751291317.1039941,1135,2836.89306640625
1751291323.495973,1155,2037.1083984375
1751291323.739328,1156,2752.96728515625
1751291324.709549,1160,2794.745849609375
1751291324.9556632,1161,2508.26708984375
1751291325.2009778,1162,2886.713134765625
1751291329.835916,1180,3028.72509765625
1751291331.136632,1185,2751.79931640625
1751291333.013749,1192,2808.43994140625
1751291333.253213,1193,2755.9228515625
1751291334.844697,1199,2410.791259765625
1751291336.447309,1201,3061.592529296875
1751291337.696484,1206,3094.4267578125
1751291338.195174,1208,3018.794677734375
1751291344.275579,1232,2341.8720703125
1751291344.763558,1234,3428.397705078125
1751291345.266506,1236,3194.361572265625
1751291347.663829,1244,2716.25634765625
1751291348.4564228,1247,2164.5146484375
1751291352.995051,1255,2460.44970703125
1751291353.83099,1258,3785.592041015625
1751291354.620737,1261,2738.15771484375
1751291358.3247712,1274,3063.711181640625
1751291360.147696,1281,2191.2998046875
1751291361.719061,1287,2617.93310546875
1751291363.270195,1293,3135.6494140625
1751291363.534139,1294,2048.67041015625
1751291366.574971,1300,2200.36572265625
1751291373.2836962,1310,2695.248291015625
1751291374.8835351,1315,2397.906494140625
1751291375.194485,1316,1787.51953125
1751291376.1280372,1319,1950.718505859375
1751291377.965996,1325,2116.108642578125
1751291378.551736,1327,2101.828369140625
1751291379.387093,1330,2071.959228515625
1751291380.158893,1333,2076.52783203125
1751291380.995772,1336,1705.054931640625
1751291381.2763982,1337,2107.391357421875
1751291387.527241,1355,2818.42626953125
1751291391.517761,1370,2724.30908203125
1751291396.8645482,1385,1829.218994140625
1751291397.9208388,1388,1492.9698486328125
1751291398.241726,1389,2039.095947265625
1751291398.8176918,1391,1586.722900390625
1751291399.094146,1392,1882.0364990234375
1751291406.4581451,1413,1416.784423828125
1751291406.783218,1414,1592.717041015625
1751291408.1520529,1419,1354.9610595703125
1751291409.051021,1422,1603.07080078125
1751291410.19889,1426,1587.785400390625
1751291410.81658,1428,1994.4349365234375
1751291411.930814,1432,1980.11572265625
1751291412.965919,1436,1799.064208984375
1751291414.0396411,1440,1553.246826171875
1751291421.7272131,1465,1547.504638671875
1751291421.976725,1466,1961.3095703125
1751291424.813047,1477,1642.3922119140625
1751291427.278303,1485,1507.23291015625
1751291427.569301,1486,2095.069580078125
1751291428.31858,1489,1150.013916015625
1751291428.8738291,1491,1379.199951171875
1751291429.144028,1492,1321.1822509765625
1751291432.4471,1501,1417.921875
1751291434.341408,1508,1918.6453857421875
1751291438.419717,1523,1819.953125
1751291438.740289,1524,1208.841064453125
1751291439.563404,1527,1127.9161376953125
1751291444.551177,1546,955.7618408203125
1751291447.0206258,1551,1278.415771484375
1751291447.3237388,1552,1472.4814453125
1751291447.816857,1554,1300.114990234375
1751291449.533099,1561,1719.998291015625
1751291451.3187,1568,1097.8607177734375
1751291451.556139,1569,717.391845703125
1751291453.719331,1578,1020.4505004882812
1751291454.705913,1582,1161.000732421875
1751291455.195216,1584,1320.7645263671875
1751291456.406194,1588,1181.4842529296875
1751291458.869384,1597,938.1788330078125
1751291461.674926,1604,1090.083740234375
1751291461.9199748,1605,1110.1229248046875
1751291463.140922,1610,1331.914306640625
1751291465.221954,1618,1076.65966796875
1751291467.503134,1627,919.0794677734375
1751291467.7490351,1628,1107.140869140625
1751291468.772634,1632,916.6943359375
1751291470.0985448,1637,996.5054931640625
1751291471.119852,1640,1108.9669189453125
1751291471.755303,1642,1304.596923828125
1751291472.771404,1645,1043.986328125
1751291473.758213,1648,1061.2686767578125
1751291476.212209,1652,940.2523193359375
1751291478.297638,1660,1385.0693359375
1751291480.599206,1668,1016.9532470703125
1751291481.616178,1672,1044.8739013671875
1751291482.3960252,1675,1007.3945922851562
1751291482.643587,1676,1101.75
1751291484.233218,1682,927.3143310546875
1751291484.485632,1683,567.4100952148438
1751291486.4887092,1691,702.8204956054688
1751291487.4822211,1695,963.7509765625
1751291487.727212,1696,948.5817260742188
1751291487.972181,1697,463.7803955078125
1751291488.469418,1699,955.74609375
1751291490.350394,1702,1199.1737060546875
1751291492.185169,1709,1207.197998046875
1751291492.450222,1710,480.85693359375
1751291494.518877,1718,627.6107177734375
1751291494.7574122,1719,779.760986328125
1751291497.045326,1728,617.407470703125
1751291498.071487,1732,689.0899047851562
1751291498.57517,1734,809.8991088867188
1751291499.409076,1737,552.7832641601562
1751291500.833021,1742,623.9618530273438
1751291501.125091,1743,599.844482421875
1751291501.694379,1745,763.9439086914062
1751291501.9598532,1746,861.2283325195312
1751291502.211116,1747,980.019287109375
1751291504.670651,1752,666.459716796875
1751291508.419244,1766,734.21337890625
1751291510.716945,1775,529.125
1751291512.189672,1781,446.69781494140625
1751291513.8833861,1788,580.069091796875
1751291514.1319628,1789,797.4898681640625
1751291516.425022,1798,620.3287353515625
1751291519.3666549,1805,670.5408325195312
1751291521.85086,1814,888.0552978515625
1751291522.639125,1817,912.9232177734375
1751291524.503822,1824,618.0827026367188
1751291525.150626,1826,873.4271850585938
1751291526.152401,1830,648.06640625
1751291528.803484,1840,611.5943603515625
1751291529.082491,1841,817.8321533203125
1751291529.848671,1844,644.2276611328125
1751291531.151227,1849,517.447509765625
1751291533.228676,1853,440.06048583984375
1751291536.437427,1866,978.3043823242188
1751291536.920397,1868,940.2978515625
1751291537.159538,1869,877.4981689453125
1751291538.626063,1875,630.6209716796875
1751291538.904507,1876,656.5853271484375
1751291539.166579,1877,620.2508544921875
1751291539.706409,1879,298.79638671875
1751291543.32304,1893,722.6696166992188
1751291549.2792718,1911,422.1746520996094
1751291550.774963,1917,666.644775390625
1751291552.536434,1924,1022.8549194335938
1751291554.020867,1930,304.24383544921875
1751291555.0025458,1934,292.8016052246094
1751291555.486869,1936,667.0111083984375
1751291555.980055,1938,427.149169921875
1751291557.456744,1944,403.647216796875
1751291558.337804,1947,153.48062133789062
1751291558.92146,1949,376.5126037597656
1751291560.718187,1952,366.92352294921875
1751291561.457839,1955,609.6962890625
1751291562.209858,1958,635.9049072265625
1751291564.463768,1967,737.487548828125
1751291564.9808362,1969,604.5062255859375
1751291568.111435,1981,532.6709594726562
1751291568.383774,1982,436.4662780761719
1751291568.670722,1983,477.2699279785156
1751291572.4840372,1997,492.23895263671875
1751291574.651333,2001,524.3082885742188
1751291575.6972318,2005,341.06494140625
1751291576.73934,2009,337.33111572265625
1751291576.9865248,2010,282.3612060546875
1751291577.723365,2013,621.6595458984375
1751291578.264354,2015,238.6190948486328
1751291578.8065321,2017,329.42254638671875
1751291581.003485,2025,417.1313781738281
1751291581.53438,2027,207.70616149902344
1751291582.353975,2030,551.15380859375
1751291583.281725,2033,382.7469482421875
1751291584.1148741,2036,396.1099548339844
1751291584.602868,2038,366.09344482421875
1751291585.34201,2041,317.9284362792969
1751291586.088038,2044,239.43186950683594
1751291591.436682,2060,365.85723876953125
1751291593.3211899,2067,517.3458251953125
1751291594.704978,2072,291.5389404296875
1751291595.0489972,2073,236.50985717773438
1751291595.4138722,2074,191.92514038085938
1751291596.13977,2076,418.9563293457031
1751291596.496083,2077,376.7958679199219
1751291597.2435799,2079,382.64715576171875
1751291597.84686,2081,347.62982177734375
1751291598.8621068,2085,219.691162109375
1751291599.8867788,2089,331.03759765625
1751291601.186604,2094,456.22418212890625
1751291601.696552,2096,430.851318359375
1751291604.633365,2103,250.67649841308594
1751291605.111671,2105,451.279296875
1751291605.350262,2106,308.9701843261719
1751291606.567443,2111,294.4812927246094
1751291607.5370162,2115,174.95486450195312
1751291608.790582,2120,293.9679870605469
1751291609.284825,2122,249.8245849609375
1751291609.5255208,2123,369.6390686035156
1751291612.4226902,2133,243.404052734375
1751291612.8004549,2134,238.5208740234375
1751291614.022031,2138,375.0754089355469
1751291614.804064,2141,269.8717041015625
1751291615.602805,2144,196.47369384765625
1751291615.8495948,2145,299.44805908203125
1751291616.579637,2148,470.6722412109375
1751291616.8188748,2149,202.1768341064453
1751291618.3175309,2151,254.815673828125
1751291619.651768,2156,270.96807861328125
1751291619.8912032,2157,363.34307861328125
1751291621.6076128,2164,251.23248291015625
1751291621.8561049,2165,330.83428955078125
1751291622.863619,2169,204.9469757080078
1751291623.432502,2171,158.02252197265625
1751291623.943098,2173,421.8869323730469
1751291624.965608,2177,323.7605285644531
1751291627.510995,2187,146.5725860595703
1751291628.05905,2189,264.094482421875
1751291628.625878,2191,194.09478759765625
1751291628.9178162,2192,180.4127197265625
1751291629.946023,2196,172.09317016601562
1751291630.687113,2199,381.1247253417969
1751291633.9843378,2207,121.38197326660156
1751291635.078547,2211,149.1881103515625
1751291638.5500731,2225,162.44235229492188
1751291639.544914,2229,244.2359619140625
1751291640.040172,2231,500.7222595214844
1751291641.289052,2236,329.6155700683594
1751291641.539387,2237,299.43927001953125
1751291642.0365329,2239,183.36898803710938
1751291642.533837,2241,308.6554260253906
1751291642.782989,2242,168.8182373046875
1751291643.267909,2244,292.1313171386719
1751291643.768821,2246,275.7483215332031
1751291644.0121942,2247,160.1838836669922
1751291646.793974,2254,194.31143188476562
1751291647.5203662,2257,265.40362548828125
1751291648.740633,2262,132.36997985839844
1751291651.6892412,2274,315.4253234863281
1751291652.668698,2278,205.50144958496094
1751291653.3984299,2281,352.06146240234375
1751291655.8725271,2291,299.3966064453125
1751291657.344289,2297,350.489990234375
1751291657.596378,2298,148.86387634277344
1751291659.160013,2300,463.9597473144531
1751291659.872847,2303,205.44509887695312
1751291660.6141171,2306,113.65095520019531
1751291660.87857,2307,99.48872375488281
1751291661.1416728,2308,152.93365478515625
1751291663.6999118,2318,149.9596405029297
1751291663.9574559,2319,239.2393035888672
1751291664.218752,2320,257.42205810546875
1751291664.741427,2322,218.35653686523438
1751291667.888973,2334,147.02682495117188
1751291668.165837,2335,218.33035278320312
1751291668.479427,2336,82.43785095214844
1751291668.747036,2337,110.82469177246094
1751291670.929307,2345,245.7404327392578
1751291674.6272058,2354,69.16917419433594
1751291679.116779,2371,149.69358825683594
1751291682.50274,2385,200.37130737304688
1751291683.509429,2389,132.60443115234375
1751291683.7936158,2390,133.31100463867188
1751291684.339401,2392,108.08346557617188
1751291687.4813828,2400,99.328125
1751291687.981364,2402,164.3870391845703
1751291688.992428,2406,177.80252075195312
1751291691.4318552,2416,128.57882690429688
1751291693.6052322,2424,94.30792236328125
1751291693.868437,2425,152.4359588623047
1751291696.697314,2436,239.68980407714844
1751291698.7949939,2444,404.9751892089844
1751291701.4231129,2450,85.94757080078125
1751291701.620836,2451,516.169677734375
1751291702.161026,2453,160.83843994140625
1751291702.6553578,2455,177.53721618652344
1751291703.866234,2460,257.18048095703125
1751291708.737328,2479,76.16279602050781
1751291710.2161012,2485,191.36297607421875
1751291710.460072,2486,96.23875427246094
1751291712.9425228,2496,123.56822967529297
1751291713.4604769,2498,102.91865539550781
1751291715.2240682,2501,90.77391052246094
1751291715.485279,2502,187.96701049804688
1751291715.741428,2503,124.84244537353516
1751291718.448292,2514,157.0625457763672
1751291719.2266681,2517,68.64440155029297
1751291720.7102752,2523,146.1765899658203
1751291721.940128,2528,182.92808532714844
1751291722.432822,2530,122.72798156738281
1751291722.9137611,2532,222.10711669921875
1751291723.442892,2534,121.32731628417969
1751291725.778485,2543,102.7210693359375
1751291726.793545,2547,156.67300415039062
1751291728.838573,2551,280.16424560546875
1751291729.373091,2553,119.75631713867188
1751291730.254556,2556,127.53953552246094
1751291733.0328372,2565,109.07926940917969
1751291733.284686,2566,190.0562286376953
1751291734.2638872,2570,271.75421142578125
1751291735.764761,2576,68.74967956542969
1751291736.2539861,2578,126.55855560302734
1751291739.2020822,2590,101.17292785644531
1751291739.444399,2591,228.3438262939453
1751291739.686833,2592,225.00390625
1751291739.9337559,2593,100.50631713867188
1751291740.670856,2596,108.59446716308594
1751291742.8247402,2600,100.10462188720703
1751291744.2856479,2606,399.4879150390625
1751291744.527682,2607,95.03785705566406
1751291745.2495518,2610,52.135887145996094
1751291747.316267,2618,75.8451919555664
1751291748.8576179,2623,132.87469482421875
1751291749.984494,2626,185.521728515625
1751291750.806463,2629,195.501220703125
1751291751.066133,2630,192.88784790039062
1751291752.623619,2636,109.38883209228516
1751291753.146027,2638,89.42286682128906
1751291754.695189,2644,120.46163177490234
1751291755.438604,2647,100.92202758789062
1751291757.36188,2650,142.20237731933594
1751291758.798005,2655,132.0100860595703
1751291764.1592371,2674,71.40560150146484
1751291765.219222,2678,60.75904083251953
1751291765.806122,2680,122.43498229980469
1751291767.1515698,2685,214.64022827148438
1751291768.415502,2690,72.4220962524414
1751291772.804302,2703,101.63502502441406
1751291773.781027,2707,79.64613342285156
1751291774.5158038,2710,105.52865600585938
1751291778.180313,2725,54.88520812988281
1751291780.846057,2736,100.87791442871094
1751291781.0872278,2737,201.856201171875
1751291781.8130748,2740,163.88536071777344
1751291783.288922,2746,32.2423095703125
1751291786.1205912,2753,115.04269409179688
1751291786.363442,2754,85.51699829101562
1751291786.60907,2755,159.53640747070312
1751291786.85097,2756,111.24634552001953
1751291787.089976,2757,74.89676666259766
1751291787.33466,2758,117.27660369873047
1751291789.389791,2766,74.9800033569336
1751291795.2953112,2789,86.43235778808594
1751291795.550988,2790,112.02621459960938
1751291795.818936,2791,218.9960479736328
1751291797.770493,2798,180.1641845703125
1751291801.9320252,2809,87.42842102050781
1751291802.4748118,2811,102.31071472167969
1751291805.737329,2823,146.12831115722656
1751291806.020919,2824,93.33332824707031
1751291806.789263,2827,67.46453094482422
1751291807.300847,2829,85.41706848144531
1751291807.56039,2830,118.77246856689453
1751291808.078144,2832,176.70013427734375
1751291813.917954,2851,159.35459899902344
1751291815.244889,2856,117.3282699584961
1751291816.0057988,2859,92.34486389160156
1751291816.758649,2862,170.3255615234375
1751291818.977961,2871,79.53755187988281
1751291819.2178822,2872,98.98504638671875
1751291820.766337,2878,85.56839752197266
1751291821.2954419,2880,92.02198791503906
1751291821.548527,2881,220.14364624023438
1751291823.030123,2887,143.60426330566406
1751291823.812008,2890,208.03379821777344
1751291825.34002,2896,197.12716674804688
1751291825.8309388,2898,131.86929321289062
1751291827.390941,2900,178.78216552734375
1751291828.1169522,2903,87.703857421875
1751291830.292748,2912,140.71844482421875
1751291831.614777,2917,38.82032775878906
1751291832.08703,2919,174.952880859375
1751291832.346838,2920,58.61250305175781
1751291832.599953,2921,46.722537994384766
1751291835.445289,2932,152.63711547851562
1751291838.0673542,2942,89.15719604492188
1751291841.048751,2950,124.74232482910156
1751291845.1785731,2967,112.95891571044922
1751291846.9972339,2974,192.54302978515625
1751291847.254702,2975,40.54052734375
1751291847.987626,2978,94.87667846679688
1751291850.3943338,2988,99.40483856201172
1751291852.062068,2994,118.60353088378906
1751291853.099603,2998,97.55815887451172
1751291855.350236,3003,83.09266662597656
1751291855.8286972,3005,61.29903030395508
1751291856.311278,3007,149.14903259277344
1751291856.7963881,3009,98.4755859375
1751291857.2753322,3011,86.2470474243164
1751291858.233951,3015,72.94124603271484
1751291858.47199,3016,76.50871276855469
1751291859.188118,3019,81.9912109375
1751291860.6175869,3025,81.21611022949219
1751291861.094814,3027,61.84004211425781
